disclosure_id,reporting_entity,framework,scope1_reported,scope2_reported,scope3_reported,assurance_level,materiality_assessment_done,double_materiality,data_gaps_count,outcome,flag_reason
ESG-001,Acme Steel PLC,CSRD,yes,yes,yes,reasonable,yes,yes,1,compliant,
ESG-002,Northwind Energy,CSRD,yes,yes,no,limited,yes,yes,2,incomplete,csrd_missing_scope3
ESG-003,Helios Retail,GRI,yes,yes,no,none,yes,no,3,incomplete,assurance_none
ESG-004,Vega Logistics,CSRD,yes,yes,yes,reasonable,no,yes,0,non_compliant,no_materiality_assessment
ESG-005,Orion Foods,ISSB,yes,yes,yes,limited,yes,no,7,incomplete,data_gaps_high
ESG-006,Atlas Chemicals,CSRD,yes,yes,yes,reasonable,yes,no,1,non_compliant,csrd_missing_double_materiality
ESG-007,Lumen Pharma,GRI,yes,yes,yes,reasonable,yes,no,2,compliant,
ESG-008,Quantum Mining,CSRD,yes,no,no,limited,yes,yes,4,incomplete,csrd_missing_scope3
ESG-009,Solstice Bank,ISSB,yes,yes,yes,limited,yes,no,3,compliant,
ESG-010,Pioneer Auto,CSRD,yes,yes,yes,none,yes,yes,2,incomplete,assurance_none
ESG-011,Verdant Agro,GRI,yes,yes,no,limited,no,no,1,non_compliant,no_materiality_assessment
ESG-012,Cobalt Tech,CSRD,yes,yes,yes,reasonable,yes,yes,0,compliant,
ESG-013,Meridian Water,CSRD,yes,yes,no,reasonable,yes,yes,1,incomplete,csrd_missing_scope3
ESG-014,Apex Construction,GRI,yes,yes,yes,none,yes,no,8,incomplete,assurance_none
ESG-015,Nimbus Airlines,CSRD,yes,yes,yes,limited,yes,no,2,non_compliant,csrd_missing_double_materiality
ESG-016,Sterling Insurance,ISSB,yes,yes,yes,reasonable,yes,no,1,compliant,
ESG-017,Granite Cement,CSRD,yes,yes,yes,reasonable,no,yes,3,non_compliant,no_materiality_assessment
ESG-018,Halcyon Media,GRI,yes,no,no,limited,yes,no,6,incomplete,data_gaps_high
ESG-019,Polaris Shipping,CSRD,yes,yes,no,limited,yes,yes,2,incomplete,csrd_missing_scope3
ESG-020,Zephyr Wind,ISSB,yes,yes,yes,reasonable,yes,no,0,compliant,
ESG-021,Crestwood Timber,GRI,yes,yes,yes,none,yes,no,4,incomplete,assurance_none
ESG-022,Onyx Petroleum,CSRD,yes,yes,yes,reasonable,yes,no,1,non_compliant,csrd_missing_double_materiality
ESG-023,Sable Apparel,GRI,yes,yes,no,limited,no,no,2,non_compliant,no_materiality_assessment
ESG-024,Fjord Seafood,CSRD,yes,yes,yes,limited,yes,yes,9,incomplete,data_gaps_high
ESG-025,Beacon Utilities,CSRD,yes,yes,yes,reasonable,yes,yes,1,compliant,
ESG-026,Ridgeline Hotels,ISSB,yes,yes,yes,none,yes,no,2,incomplete,assurance_none
ESG-027,Cascade Beverages,CSRD,yes,no,no,reasonable,yes,yes,3,incomplete,csrd_missing_scope3
ESG-028,Aurora Semiconductors,GRI,yes,yes,yes,limited,yes,no,0,compliant,
ESG-029,Tempest Defense,CSRD,yes,yes,yes,limited,yes,no,1,non_compliant,csrd_missing_double_materiality
ESG-030,Willow Healthcare,GRI,yes,yes,no,limited,no,no,4,non_compliant,no_materiality_assessment
ESG-031,Basalt Glass,CSRD,yes,yes,yes,reasonable,yes,yes,2,compliant,
ESG-032,Marigold Cosmetics,ISSB,yes,yes,yes,none,yes,no,1,incomplete,assurance_none
ESG-033,Hawthorn Brewing,CSRD,yes,yes,no,limited,yes,yes,3,incomplete,csrd_missing_scope3
ESG-034,Cinder Steelworks,GRI,yes,yes,yes,limited,yes,no,7,incomplete,data_gaps_high
ESG-035,Lattice Software,CSRD,yes,yes,yes,reasonable,no,yes,0,non_compliant,no_materiality_assessment
ESG-036,Drift Telecom,CSRD,yes,yes,yes,limited,yes,no,2,non_compliant,csrd_missing_double_materiality
ESG-037,Pebble Toys,GRI,yes,yes,yes,reasonable,yes,no,1,compliant,
ESG-038,Vanguard Rail,CSRD,yes,no,no,limited,yes,yes,4,incomplete,csrd_missing_scope3
ESG-039,Sunbeam Solar,ISSB,yes,yes,yes,reasonable,yes,no,0,compliant,
ESG-040,Thornfield Estates,GRI,yes,yes,yes,none,yes,no,3,incomplete,assurance_none
ESG-041,Equinox Textiles,CSRD,yes,yes,yes,reasonable,yes,yes,1,compliant,
ESG-042,Mosaic Packaging,CSRD,yes,yes,yes,limited,yes,no,2,non_compliant,csrd_missing_double_materiality
ESG-043,Cypress Logistics,GRI,yes,yes,no,limited,no,no,5,non_compliant,no_materiality_assessment
ESG-044,Lyric Entertainment,ISSB,yes,yes,yes,limited,yes,no,8,incomplete,data_gaps_high
ESG-045,Birchwood Paper,CSRD,yes,yes,no,reasonable,yes,yes,2,incomplete,csrd_missing_scope3
ESG-046,Garnet Jewelers,GRI,yes,yes,yes,none,yes,no,1,incomplete,assurance_none
ESG-047,Helix Biotech,CSRD,yes,yes,yes,reasonable,yes,yes,0,compliant,
ESG-048,Talon Aerospace,CSRD,yes,yes,yes,limited,yes,no,3,non_compliant,csrd_missing_double_materiality
ESG-049,Maple Dairy,GRI,yes,yes,yes,limited,no,no,2,non_compliant,no_materiality_assessment
ESG-050,Cobblestone Realty,ISSB,yes,yes,yes,reasonable,yes,no,1,compliant,
